Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
Norway,2021,41028000.0,0.2767105359322042,0.7145267117069263,0.0,0.7145267117069263,0.0,0.982969577703258,0.0,0.982969577703258,0.0,0.0418998290781729,0.9581001709218272,3
Norway,2022,40808000.0,0.2926008423343671,0.6984788188920004,0.0,0.6984788188920004,0.0,0.972660893413676,0.0,0.972660893413676,0.0,0.0473143057438196,0.9526856942561804,3
Norway,2023,38901000.0,0.2790889991219827,0.7071099661904965,0.0,0.7071099661904965,0.0,0.9725355503090012,0.0,0.9725355503090012,0.0,0.0424375280425296,0.9575624719574704,3
Oman,1990,11222441.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025669303244542,0.9974330696755458,2
Oman,1991,11594826.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025233190465297,0.9974766809534702,2
Oman,1992,11892658.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002629590587865,0.997370409412135,2
Oman,1993,13224754.0,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002410317993437,0.997589682006563,2
Oman,1994,17384390.0,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024198165804291,0.9975801834195708,2
Oman,1995,18734758.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032006419775447,0.9967993580224552,2
Oman,1996,18108174.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033386328275511,0.9966613671724488,2
Oman,1997,18053502.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037498450962542,0.9962501549037458,2
Oman,1998,18445326.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039102279013388,0.9960897720986612,2
Oman,1999,21985242.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041215654858814,0.9958784345141186,2
Oman,2000,23890246.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078394232710944,0.9921605767289056,2
Oman,2001,22404480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117024360657034,0.9882975639342966,2
Oman,2002,26842018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134314106569909,0.9865685893430092,2
Oman,2003,34356268.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161447938642692,0.9838552061357309,2
Oman,2004,29024288.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171777600933432,0.9828222399066568,2
Oman,2005,31600618.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193697945952196,0.9806302054047804,2
Oman,2006,40166916.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236004308397437,0.9763995691602564,2
Oman,2007,45071096.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247968512345269,0.975203148765473,2
Oman,2008,47189960.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229022258594986,0.9770977741405014,2
Oman,2009,44277584.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212460875393392,0.9787539124606608,2
